sub_id,turf_id,coop,state,species,common_name_spanish,scientific_name,common_name_english,aphia_id
50_1,MX_C_050,S.C.P.P. AGOSTADEROS DEL TOPON,CH,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
47_1,MX_C_047,S.C.P.P. LAS BRISAS DE PIJIJIAPAN,CH,CAMARON CAFE (Penaeus aztecus),CAMARON CAFE,Penaeus aztecus,Brown Shrimp,1809216
47_1,MX_C_047,S.C.P.P. LAS BRISAS DE PIJIJIAPAN,CH,CAMARON BLANCO (Penaeus vannamei),CAMARON BLANCO,Penaeus vannamei,Pacific White Shrimp,1809212
47_1,MX_C_047,S.C.P.P. LAS BRISAS DE PIJIJIAPAN,CH,CAMARON AZUL (Litopenaeus stylirostris),CAMARON AZUL,Litopenaeus stylirostris,Blue Shrimp,1809211
47_1,MX_C_047,S.C.P.P. LAS BRISAS DE PIJIJIAPAN,CH,ESCAMA ESTUARINA,ESCAMA ESTUARINA,NA,NA,NA
60_1,MX_C_060,S.C.P.P. LA CRUZ DE LORETO,JAL,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
60_1,MX_C_060,S.C.P.P. LA CRUZ DE LORETO,JAL,JAIBA (Callinectes spp),JAIBA,Callinectes spp.,Swimming Crab,106921
60_1,MX_C_060,S.C.P.P. LA CRUZ DE LORETO,JAL,ESCAMA GENERAL,ESCAMA GENERAL,NA,NA,NA
66_1,MX_C_066,S.C.P.P. POR LA JUSTICIA SOCIAL,QR,LANGOSTA DEL CARIBE (Panulirus argus),LANGOSTA DEL CARIBE,Panulirus argus,Caribbean Spiny Lobster,382891
65_1,MX_C_065,S.C.P.P. VANGUARDIA DEL MAR,QR,LANGOSTA DEL CARIBE (Panulirus argus),LANGOSTA DEL CARIBE,Panulirus argus,Caribbean Spiny Lobster,382891
68_1,MX_C_068,S.C.P.P. PESCADORES DE TULUM,QR,LANGOSTA DEL CARIBE (Panulirus argus),LANGOSTA DEL CARIBE,Panulirus argus,Caribbean Spiny Lobster,382891
67_1,MX_C_067,S.C.P.P. PESCADORES DE PUERTO MORELOS,QR,LANGOSTA DEL CARIBE (Panulirus argus),LANGOSTA DEL CARIBE,Panulirus argus,Caribbean Spiny Lobster,382891
64_1,MX_C_064,S.C.P.P. LANGOSTEROS DEL CARIBE,QR,LANGOSTA DEL CARIBE (Panulirus argus),LANGOSTA DEL CARIBE,Panulirus argus,Caribbean Spiny Lobster,382891
63_1,MX_C_063,S.C.P.P. JOSE MARIA AZCORRA,QR,LANGOSTA DEL CARIBE (Panulirus argus),LANGOSTA DEL CARIBE,Panulirus argus,Caribbean Spiny Lobster,382891
62_1,MX_C_062,S.C.P.P. PESCADORES DE VIGIA CHICO,QR,LANGOSTA DEL CARIBE (Panulirus argus),LANGOSTA DEL CARIBE,Panulirus argus,Caribbean Spiny Lobster,382891
61_1,MX_C_061,S.C.P.P. COZUMEL,QR,LANGOSTA DEL CARIBE (Panulirus argus),LANGOSTA DEL CARIBE,Panulirus argus,Caribbean Spiny Lobster,382891
98_1,MX_C_098,S.C.P.P. EUSEBIO SANCHEZ,SIN,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
89_1,MX_C_089,S.C.P.P. JOSE CUSTODIO MACHADO,SIN,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
88_1,MX_C_088,S.C.P.P. ISLA DE SAN IGNACIO,SIN,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
86_1,MX_C_086,S.C.P.P. TATA LAZARO CARDENAS,SIN,CAMARON DE ESTERO (Penaeus spp.),CAMARON DE ESTERO,Penaeus spp.,Shrimp,106822
